,CreditScore,Balance,NumOfProducts,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,HasCrCard_No,HasCrCard_Yes,IsActiveMember_No,IsActiveMember_Yes,Tenure-group_0-2,Tenure-group_2-4,Tenure-group_4-6,Tenure-group_6-8,Tenure-group_8-10,Age-group_1-20,Age-group_20-40,Age-group_40-60,Age-group_60-80,Age-group_80-100
0,619,0.0,1,101348.88,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
1,608,83807.86,1,112542.58,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
2,502,159660.8,3,113931.57,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
3,699,0.0,2,93826.63,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
4,850,125510.82,1,79084.1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
5,645,113755.78,2,149756.71,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
6,822,0.0,2,10062.8,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
7,376,115046.74,4,119346.88,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
8,501,142051.07,2,74940.5,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
9,684,134603.88,1,71725.73,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
10,528,102016.72,2,80181.12,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
11,497,0.0,2,76390.01,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
12,476,0.0,2,26260.98,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
13,549,0.0,2,190857.79,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
14,635,0.0,2,65951.65,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
15,616,143129.41,2,64327.26,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
16,653,132602.88,1,5097.67,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
17,549,0.0,2,14406.41,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
18,587,0.0,1,158684.81,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
19,726,0.0,2,54724.03,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
20,732,0.0,2,170886.17,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
21,636,0.0,2,138555.46,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
22,510,0.0,1,118913.53,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
23,669,0.0,2,8487.75,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
24,846,0.0,1,187616.16,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
25,577,0.0,2,124508.29,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
26,756,136815.64,1,170041.95,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
